dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,old_detach,MNE-standard,0,1,50.580000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,50.630000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,50.450000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,50.460000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,50.040000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,50.050000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,49.770000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,49.640000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,49.780000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,49.350000,0.000000
cifar10,old_detach,MNE-standard,1,1,49.690000,0.000000
